title,price,location A,location B,location C,location D,size,lat,long
STAN NA KEJU SA POGLEDOM NA DUNAV-BEZ PROVIZIJE,"249.900,00 €","Beograd ","Opština Zemun ","Gardoš ",,"145 m2
Kvadratura",44.8488859,20.4081498
"Rajka od Rasine, Banovo brdo , 102m2","225.000,00 €","Beograd ","Opština Čukarica ","Banovo brdo ","Rajka od Rasine ","102 m2
Kvadratura",44.7765003,20.4145299
Prodajemo povoljno četvorosoban stan na Banovom b.,"159.000,00 €","Beograd ","Opština Čukarica ","Banovo brdo ","Nikolaja Gogolja ","100 m2
Kvadratura",44.7755602,20.4126121
"Požeška, Banovo brdo 137m²","395.000,00 €","Beograd ","Opština Čukarica ","Banovo brdo ","Požeška ","137 m2
Kvadratura",44.7738858,20.4137645
"Odlican, uknjižen, nov, I/4, stan sa terasom!","58.990,00 €","Beograd ","Opština Zvezdara ","Mirijevo ","Miodraga Protića ","29 m2
Kvadratura",44.8017912,20.5311245
"Nov, Jajinci, 57m2 + parking mesto, Uknjižen","79.800,00 €","Beograd ","Opština Voždovac ","Jajinci ",,"57 m2
Kvadratura",44.7422868,20.4838946
"Stan na prodaju, Terazije, 43m2","150.000,00 €","Beograd ","Opština Stari grad ","Terazije ",,"43 m2
Kvadratura",44.8126696,20.4612717
"Mirijevo, 75m2 trosoban nova gradnja","132.500,00 €","Beograd ","Opština Zvezdara ","Mirijevo ",,"75 m2
Kvadratura",44.7854051,20.5461547
"Stan,Beograd,Zemun,Banijska,1.5,43 m2,79550 eur+PD","79.550,00 €","Beograd ","Opština Zemun ","Gornji grad ","Banijska ","43 m2
Kvadratura",44.8460842,20.3840504
"Prodaja stana,Beograd,Zemun,Banijska,31 m2,55800 e","55.800,00 €","Beograd ","Opština Zemun ","Gornji grad ","Banijska ","31 m2
Kvadratura",44.8460842,20.3840504
"Mirijevo, Kapetana Miloša Žunjića, 53m2, parking","74.900,00 €","Beograd ","Opština Zvezdara ","Mirijevo ","Kapetana Miloša Žunjića ","53 m2
Kvadratura",44.7947239,20.5400886
Trosoban sa pogledom na ulicu ID#1155,"297.600,00 €","Beograd ","Opština Vračar ","Čubura ","Svetozara Gligorića ","96 m2
Kvadratura",44.7954768,20.4773131
"Golf naselje, Žarkovačka, odličan (ID: 655) ID#655","245.000,00 €","Beograd ","Opština Čukarica ","Golf ","Žarkovačka ","121 m2
Kvadratura",44.7688838,20.4203895
"CENTAR,POREČKA DVOSOBAN ID#1251","145.000,00 €","Beograd ","Opština Palilula ","Centar ","Porečka ","65 m2
Kvadratura",,
"1.5, Đeram, Đevđelijska, 44m2","118.000,00 €","Beograd ","Opština Zvezdara ","Đeram pijaca ","Đevđelijska ","44 m2
Kvadratura",44.80133319999999,20.4872266
Stan Beograd - Karaburma - Garsija Lorke 69m²,"75.000,00 €","Beograd ","Opština Palilula ","Karaburma ","Garsija Lorke ","69 m2
Kvadratura",44.8089533,20.5158543
Stan na top lokaciji ID#116479,"490.000,00 €","Beograd ","Opština Savski venac ","VMA ","Raška ","165 m2
Kvadratura",44.7644061,20.4674923
Stan Beograd - Kajmakčalanska 52(T),"109.000,00 €","Beograd ","Opština Vračar ","Crveni krst ","Kajmakčalanska ","47 m2
Kvadratura",44.7985734,20.4880198
"Luksuzan stan na prodaju, Vračar","600.000,00 €","Beograd ","Opština Vračar ","Kalenić pijaca ",,"130 m2
Kvadratura",44.8001747,20.475769
Odličan stan u naselju Braće Jerković,"94.000,00 €","Beograd ","Opština Voždovac ","Braće Jerković ","Braće Jerković ","57 m2
Kvadratura",44.7705535,20.4943111
STAN NA KEJU SA POGLEDOM NA DUNAV-BEZ PROVIZIJE,"249.900,00 €","Beograd ","Opština Zemun ","Gardoš ",,"145 m2
Kvadratura",44.8488859,20.4081498
"Rajka od Rasine, Banovo brdo , 102m2","225.000,00 €","Beograd ","Opština Čukarica ","Banovo brdo ","Rajka od Rasine ","102 m2
Kvadratura",44.7765003,20.4145299
Prodajemo povoljno četvorosoban stan na Banovom b.,"159.000,00 €","Beograd ","Opština Čukarica ","Banovo brdo ","Nikolaja Gogolja ","100 m2
Kvadratura",44.7755602,20.4126121
"Požeška, Banovo brdo 137m²","395.000,00 €","Beograd ","Opština Čukarica ","Banovo brdo ","Požeška ","137 m2
Kvadratura",44.7738858,20.4137645
"Odlican, uknjižen, nov, I/4, stan sa terasom!","58.990,00 €","Beograd ","Opština Zvezdara ","Mirijevo ","Miodraga Protića ","29 m2
Kvadratura",44.8017912,20.5311245
"Nov, Jajinci, 57m2 + parking mesto, Uknjižen","79.800,00 €","Beograd ","Opština Voždovac ","Jajinci ",,"57 m2
Kvadratura",44.7422868,20.4838946
"Stan na prodaju, Terazije, 43m2","150.000,00 €","Beograd ","Opština Stari grad ","Terazije ",,"43 m2
Kvadratura",44.8126696,20.4612717
"Mirijevo, 75m2 trosoban nova gradnja","132.500,00 €","Beograd ","Opština Zvezdara ","Mirijevo ",,"75 m2
Kvadratura",44.7854051,20.5461547
"Stan,Beograd,Zemun,Banijska,1.5,43 m2,79550 eur+PD","79.550,00 €","Beograd ","Opština Zemun ","Gornji grad ","Banijska ","43 m2
Kvadratura",44.8460842,20.3840504
"Prodaja stana,Beograd,Zemun,Banijska,31 m2,55800 e","55.800,00 €","Beograd ","Opština Zemun ","Gornji grad ","Banijska ","31 m2
Kvadratura",44.8460842,20.3840504
"Mirijevo, Kapetana Miloša Žunjića, 53m2, parking","74.900,00 €","Beograd ","Opština Zvezdara ","Mirijevo ","Kapetana Miloša Žunjića ","53 m2
Kvadratura",44.7947239,20.5400886
Trosoban sa pogledom na ulicu ID#1155,"297.600,00 €","Beograd ","Opština Vračar ","Čubura ","Svetozara Gligorića ","96 m2
Kvadratura",44.7954768,20.4773131
"Golf naselje, Žarkovačka, odličan (ID: 655) ID#655","245.000,00 €","Beograd ","Opština Čukarica ","Golf ","Žarkovačka ","121 m2
Kvadratura",44.7688838,20.4203895
"CENTAR,POREČKA DVOSOBAN ID#1251","145.000,00 €","Beograd ","Opština Palilula ","Centar ","Porečka ","65 m2
Kvadratura",,
"1.5, Đeram, Đevđelijska, 44m2","118.000,00 €","Beograd ","Opština Zvezdara ","Đeram pijaca ","Đevđelijska ","44 m2
Kvadratura",44.80133319999999,20.4872266
Stan Beograd - Karaburma - Garsija Lorke 69m²,"75.000,00 €","Beograd ","Opština Palilula ","Karaburma ","Garsija Lorke ","69 m2
Kvadratura",44.8089533,20.5158543
Stan na top lokaciji ID#116479,"490.000,00 €","Beograd ","Opština Savski venac ","VMA ","Raška ","165 m2
Kvadratura",44.7644061,20.4674923
Stan Beograd - Kajmakčalanska 52(T),"109.000,00 €","Beograd ","Opština Vračar ","Crveni krst ","Kajmakčalanska ","47 m2
Kvadratura",44.7985734,20.4880198
"Luksuzan stan na prodaju, Vračar","600.000,00 €","Beograd ","Opština Vračar ","Kalenić pijaca ",,"130 m2
Kvadratura",44.8001747,20.475769
Odličan stan u naselju Braće Jerković,"94.000,00 €","Beograd ","Opština Voždovac ","Braće Jerković ","Braće Jerković ","57 m2
Kvadratura",44.7705535,20.4943111
STAN NA KEJU SA POGLEDOM NA DUNAV-BEZ PROVIZIJE,"249.900,00 €","Beograd ","Opština Zemun ","Gardoš ",,"145 m2
Kvadratura",44.8488859,20.4081498
"Rajka od Rasine, Banovo brdo , 102m2","225.000,00 €","Beograd ","Opština Čukarica ","Banovo brdo ","Rajka od Rasine ","102 m2
Kvadratura",44.7765003,20.4145299
Prodajemo povoljno četvorosoban stan na Banovom b.,"159.000,00 €","Beograd ","Opština Čukarica ","Banovo brdo ","Nikolaja Gogolja ","100 m2
Kvadratura",44.7755602,20.4126121
"Požeška, Banovo brdo 137m²","395.000,00 €","Beograd ","Opština Čukarica ","Banovo brdo ","Požeška ","137 m2
Kvadratura",44.7738858,20.4137645
"Odlican, uknjižen, nov, I/4, stan sa terasom!","58.990,00 €","Beograd ","Opština Zvezdara ","Mirijevo ","Miodraga Protića ","29 m2
Kvadratura",44.8017912,20.5311245
"Nov, Jajinci, 57m2 + parking mesto, Uknjižen","79.800,00 €","Beograd ","Opština Voždovac ","Jajinci ",,"57 m2
Kvadratura",44.7422868,20.4838946
"Stan na prodaju, Terazije, 43m2","150.000,00 €","Beograd ","Opština Stari grad ","Terazije ",,"43 m2
Kvadratura",44.8126696,20.4612717
"Mirijevo, 75m2 trosoban nova gradnja","132.500,00 €","Beograd ","Opština Zvezdara ","Mirijevo ",,"75 m2
Kvadratura",44.7854051,20.5461547
"Stan,Beograd,Zemun,Banijska,1.5,43 m2,79550 eur+PD","79.550,00 €","Beograd ","Opština Zemun ","Gornji grad ","Banijska ","43 m2
Kvadratura",44.8460842,20.3840504
"Prodaja stana,Beograd,Zemun,Banijska,31 m2,55800 e","55.800,00 €","Beograd ","Opština Zemun ","Gornji grad ","Banijska ","31 m2
Kvadratura",44.8460842,20.3840504
"Mirijevo, Kapetana Miloša Žunjića, 53m2, parking","74.900,00 €","Beograd ","Opština Zvezdara ","Mirijevo ","Kapetana Miloša Žunjića ","53 m2
Kvadratura",44.7947239,20.5400886
Trosoban sa pogledom na ulicu ID#1155,"297.600,00 €","Beograd ","Opština Vračar ","Čubura ","Svetozara Gligorića ","96 m2
Kvadratura",44.7954768,20.4773131
"Golf naselje, Žarkovačka, odličan (ID: 655) ID#655","245.000,00 €","Beograd ","Opština Čukarica ","Golf ","Žarkovačka ","121 m2
Kvadratura",44.7688838,20.4203895
"CENTAR,POREČKA DVOSOBAN ID#1251","145.000,00 €","Beograd ","Opština Palilula ","Centar ","Porečka ","65 m2
Kvadratura",,
"1.5, Đeram, Đevđelijska, 44m2","118.000,00 €","Beograd ","Opština Zvezdara ","Đeram pijaca ","Đevđelijska ","44 m2
Kvadratura",44.80133319999999,20.4872266
Stan Beograd - Karaburma - Garsija Lorke 69m²,"75.000,00 €","Beograd ","Opština Palilula ","Karaburma ","Garsija Lorke ","69 m2
Kvadratura",44.8089533,20.5158543
Stan na top lokaciji ID#116479,"490.000,00 €","Beograd ","Opština Savski venac ","VMA ","Raška ","165 m2
Kvadratura",44.7644061,20.4674923
Stan Beograd - Kajmakčalanska 52(T),"109.000,00 €","Beograd ","Opština Vračar ","Crveni krst ","Kajmakčalanska ","47 m2
Kvadratura",44.7985734,20.4880198
"Luksuzan stan na prodaju, Vračar","600.000,00 €","Beograd ","Opština Vračar ","Kalenić pijaca ",,"130 m2
Kvadratura",44.8001747,20.475769
Odličan stan u naselju Braće Jerković,"94.000,00 €","Beograd ","Opština Voždovac ","Braće Jerković ","Braće Jerković ","57 m2
Kvadratura",44.7705535,20.4943111
STAN NA KEJU SA POGLEDOM NA DUNAV-BEZ PROVIZIJE,"249.900,00 €","Beograd ","Opština Zemun ","Gardoš ",,"145 m2
Kvadratura",44.8488859,20.4081498
"Rajka od Rasine, Banovo brdo , 102m2","225.000,00 €","Beograd ","Opština Čukarica ","Banovo brdo ","Rajka od Rasine ","102 m2
Kvadratura",44.7765003,20.4145299
Prodajemo povoljno četvorosoban stan na Banovom b.,"159.000,00 €","Beograd ","Opština Čukarica ","Banovo brdo ","Nikolaja Gogolja ","100 m2
Kvadratura",44.7755602,20.4126121
"Požeška, Banovo brdo 137m²","395.000,00 €","Beograd ","Opština Čukarica ","Banovo brdo ","Požeška ","137 m2
Kvadratura",44.7738858,20.4137645
"Odlican, uknjižen, nov, I/4, stan sa terasom!","58.990,00 €","Beograd ","Opština Zvezdara ","Mirijevo ","Miodraga Protića ","29 m2
Kvadratura",44.8017912,20.5311245
"Nov, Jajinci, 57m2 + parking mesto, Uknjižen","79.800,00 €","Beograd ","Opština Voždovac ","Jajinci ",,"57 m2
Kvadratura",44.7422868,20.4838946
"Stan na prodaju, Terazije, 43m2","150.000,00 €","Beograd ","Opština Stari grad ","Terazije ",,"43 m2
Kvadratura",44.8126696,20.4612717
"Mirijevo, 75m2 trosoban nova gradnja","132.500,00 €","Beograd ","Opština Zvezdara ","Mirijevo ",,"75 m2
Kvadratura",44.7854051,20.5461547
"Stan,Beograd,Zemun,Banijska,1.5,43 m2,79550 eur+PD","79.550,00 €","Beograd ","Opština Zemun ","Gornji grad ","Banijska ","43 m2
Kvadratura",44.8460842,20.3840504
"Prodaja stana,Beograd,Zemun,Banijska,31 m2,55800 e","55.800,00 €","Beograd ","Opština Zemun ","Gornji grad ","Banijska ","31 m2
Kvadratura",44.8460842,20.3840504
"Mirijevo, Kapetana Miloša Žunjića, 53m2, parking","74.900,00 €","Beograd ","Opština Zvezdara ","Mirijevo ","Kapetana Miloša Žunjića ","53 m2
Kvadratura",44.7947239,20.5400886
Trosoban sa pogledom na ulicu ID#1155,"297.600,00 €","Beograd ","Opština Vračar ","Čubura ","Svetozara Gligorića ","96 m2
Kvadratura",44.7954768,20.4773131
"Golf naselje, Žarkovačka, odličan (ID: 655) ID#655","245.000,00 €","Beograd ","Opština Čukarica ","Golf ","Žarkovačka ","121 m2
Kvadratura",44.7688838,20.4203895
"CENTAR,POREČKA DVOSOBAN ID#1251","145.000,00 €","Beograd ","Opština Palilula ","Centar ","Porečka ","65 m2
Kvadratura",,
"1.5, Đeram, Đevđelijska, 44m2","118.000,00 €","Beograd ","Opština Zvezdara ","Đeram pijaca ","Đevđelijska ","44 m2
Kvadratura",44.80133319999999,20.4872266
Stan Beograd - Karaburma - Garsija Lorke 69m²,"75.000,00 €","Beograd ","Opština Palilula ","Karaburma ","Garsija Lorke ","69 m2
Kvadratura",44.8089533,20.5158543
Stan na top lokaciji ID#116479,"490.000,00 €","Beograd ","Opština Savski venac ","VMA ","Raška ","165 m2
Kvadratura",44.7644061,20.4674923
Stan Beograd - Kajmakčalanska 52(T),"109.000,00 €","Beograd ","Opština Vračar ","Crveni krst ","Kajmakčalanska ","47 m2
Kvadratura",44.7985734,20.4880198
"Luksuzan stan na prodaju, Vračar","600.000,00 €","Beograd ","Opština Vračar ","Kalenić pijaca ",,"130 m2
Kvadratura",44.8001747,20.475769
Odličan stan u naselju Braće Jerković,"94.000,00 €","Beograd ","Opština Voždovac ","Braće Jerković ","Braće Jerković ","57 m2
Kvadratura",44.7705535,20.4943111
STAN NA KEJU SA POGLEDOM NA DUNAV-BEZ PROVIZIJE,"249.900,00 €","Beograd ","Opština Zemun ","Gardoš ",,"145 m2
Kvadratura",44.8488859,20.4081498
"Rajka od Rasine, Banovo brdo , 102m2","225.000,00 €","Beograd ","Opština Čukarica ","Banovo brdo ","Rajka od Rasine ","102 m2
Kvadratura",44.7765003,20.4145299
Prodajemo povoljno četvorosoban stan na Banovom b.,"159.000,00 €","Beograd ","Opština Čukarica ","Banovo brdo ","Nikolaja Gogolja ","100 m2
Kvadratura",44.7755602,20.4126121
"Požeška, Banovo brdo 137m²","395.000,00 €","Beograd ","Opština Čukarica ","Banovo brdo ","Požeška ","137 m2
Kvadratura",44.7738858,20.4137645
"Odlican, uknjižen, nov, I/4, stan sa terasom!","58.990,00 €","Beograd ","Opština Zvezdara ","Mirijevo ","Miodraga Protića ","29 m2
Kvadratura",44.8017912,20.5311245
"Nov, Jajinci, 57m2 + parking mesto, Uknjižen","79.800,00 €","Beograd ","Opština Voždovac ","Jajinci ",,"57 m2
Kvadratura",44.7422868,20.4838946
"Stan na prodaju, Terazije, 43m2","150.000,00 €","Beograd ","Opština Stari grad ","Terazije ",,"43 m2
Kvadratura",44.8126696,20.4612717
"Mirijevo, 75m2 trosoban nova gradnja","132.500,00 €","Beograd ","Opština Zvezdara ","Mirijevo ",,"75 m2
Kvadratura",44.7854051,20.5461547
"Stan,Beograd,Zemun,Banijska,1.5,43 m2,79550 eur+PD","79.550,00 €","Beograd ","Opština Zemun ","Gornji grad ","Banijska ","43 m2
Kvadratura",44.8460842,20.3840504
"Prodaja stana,Beograd,Zemun,Banijska,31 m2,55800 e","55.800,00 €","Beograd ","Opština Zemun ","Gornji grad ","Banijska ","31 m2
Kvadratura",44.8460842,20.3840504
"Mirijevo, Kapetana Miloša Žunjića, 53m2, parking","74.900,00 €","Beograd ","Opština Zvezdara ","Mirijevo ","Kapetana Miloša Žunjića ","53 m2
Kvadratura",44.7947239,20.5400886
Trosoban sa pogledom na ulicu ID#1155,"297.600,00 €","Beograd ","Opština Vračar ","Čubura ","Svetozara Gligorića ","96 m2
Kvadratura",44.7954768,20.4773131
"Golf naselje, Žarkovačka, odličan (ID: 655) ID#655","245.000,00 €","Beograd ","Opština Čukarica ","Golf ","Žarkovačka ","121 m2
Kvadratura",44.7688838,20.4203895
"CENTAR,POREČKA DVOSOBAN ID#1251","145.000,00 €","Beograd ","Opština Palilula ","Centar ","Porečka ","65 m2
Kvadratura",,
"1.5, Đeram, Đevđelijska, 44m2","118.000,00 €","Beograd ","Opština Zvezdara ","Đeram pijaca ","Đevđelijska ","44 m2
Kvadratura",44.80133319999999,20.4872266
Stan Beograd - Karaburma - Garsija Lorke 69m²,"75.000,00 €","Beograd ","Opština Palilula ","Karaburma ","Garsija Lorke ","69 m2
Kvadratura",44.8089533,20.5158543
Stan na top lokaciji ID#116479,"490.000,00 €","Beograd ","Opština Savski venac ","VMA ","Raška ","165 m2
Kvadratura",44.7644061,20.4674923
Stan Beograd - Kajmakčalanska 52(T),"109.000,00 €","Beograd ","Opština Vračar ","Crveni krst ","Kajmakčalanska ","47 m2
Kvadratura",44.7985734,20.4880198
"Luksuzan stan na prodaju, Vračar","600.000,00 €","Beograd ","Opština Vračar ","Kalenić pijaca ",,"130 m2
Kvadratura",44.8001747,20.475769
Odličan stan u naselju Braće Jerković,"94.000,00 €","Beograd ","Opština Voždovac ","Braće Jerković ","Braće Jerković ","57 m2
Kvadratura",44.7705535,20.4943111
STAN NA KEJU SA POGLEDOM NA DUNAV-BEZ PROVIZIJE,"249.900,00 €","Beograd ","Opština Zemun ","Gardoš ",,"145 m2
Kvadratura",44.8488859,20.4081498
"Rajka od Rasine, Banovo brdo , 102m2","225.000,00 €","Beograd ","Opština Čukarica ","Banovo brdo ","Rajka od Rasine ","102 m2
Kvadratura",44.7765003,20.4145299
Prodajemo povoljno četvorosoban stan na Banovom b.,"159.000,00 €","Beograd ","Opština Čukarica ","Banovo brdo ","Nikolaja Gogolja ","100 m2
Kvadratura",44.7755602,20.4126121
"Požeška, Banovo brdo 137m²","395.000,00 €","Beograd ","Opština Čukarica ","Banovo brdo ","Požeška ","137 m2
Kvadratura",44.7738858,20.4137645
"Odlican, uknjižen, nov, I/4, stan sa terasom!","58.990,00 €","Beograd ","Opština Zvezdara ","Mirijevo ","Miodraga Protića ","29 m2
Kvadratura",44.8017912,20.5311245
"Nov, Jajinci, 57m2 + parking mesto, Uknjižen","79.800,00 €","Beograd ","Opština Voždovac ","Jajinci ",,"57 m2
Kvadratura",44.7422868,20.4838946
"Stan na prodaju, Terazije, 43m2","150.000,00 €","Beograd ","Opština Stari grad ","Terazije ",,"43 m2
Kvadratura",44.8126696,20.4612717
"Mirijevo, 75m2 trosoban nova gradnja","132.500,00 €","Beograd ","Opština Zvezdara ","Mirijevo ",,"75 m2
Kvadratura",44.7854051,20.5461547
"Stan,Beograd,Zemun,Banijska,1.5,43 m2,79550 eur+PD","79.550,00 €","Beograd ","Opština Zemun ","Gornji grad ","Banijska ","43 m2
Kvadratura",44.8460842,20.3840504
"Prodaja stana,Beograd,Zemun,Banijska,31 m2,55800 e","55.800,00 €","Beograd ","Opština Zemun ","Gornji grad ","Banijska ","31 m2
Kvadratura",44.8460842,20.3840504
"Mirijevo, Kapetana Miloša Žunjića, 53m2, parking","74.900,00 €","Beograd ","Opština Zvezdara ","Mirijevo ","Kapetana Miloša Žunjića ","53 m2
Kvadratura",44.7947239,20.5400886
Trosoban sa pogledom na ulicu ID#1155,"297.600,00 €","Beograd ","Opština Vračar ","Čubura ","Svetozara Gligorića ","96 m2
Kvadratura",44.7954768,20.4773131
"Golf naselje, Žarkovačka, odličan (ID: 655) ID#655","245.000,00 €","Beograd ","Opština Čukarica ","Golf ","Žarkovačka ","121 m2
Kvadratura",44.7688838,20.4203895
"CENTAR,POREČKA DVOSOBAN ID#1251","145.000,00 €","Beograd ","Opština Palilula ","Centar ","Porečka ","65 m2
Kvadratura",,
"1.5, Đeram, Đevđelijska, 44m2","118.000,00 €","Beograd ","Opština Zvezdara ","Đeram pijaca ","Đevđelijska ","44 m2
Kvadratura",44.80133319999999,20.4872266
Stan Beograd - Karaburma - Garsija Lorke 69m²,"75.000,00 €","Beograd ","Opština Palilula ","Karaburma ","Garsija Lorke ","69 m2
Kvadratura",44.8089533,20.5158543
Stan na top lokaciji ID#116479,"490.000,00 €","Beograd ","Opština Savski venac ","VMA ","Raška ","165 m2
Kvadratura",44.7644061,20.4674923
Stan Beograd - Kajmakčalanska 52(T),"109.000,00 €","Beograd ","Opština Vračar ","Crveni krst ","Kajmakčalanska ","47 m2
Kvadratura",44.7985734,20.4880198
"Luksuzan stan na prodaju, Vračar","600.000,00 €","Beograd ","Opština Vračar ","Kalenić pijaca ",,"130 m2
Kvadratura",44.8001747,20.475769
Odličan stan u naselju Braće Jerković,"94.000,00 €","Beograd ","Opština Voždovac ","Braće Jerković ","Braće Jerković ","57 m2
Kvadratura",44.7705535,20.4943111
STAN NA KEJU SA POGLEDOM NA DUNAV-BEZ PROVIZIJE,"249.900,00 €","Beograd ","Opština Zemun ","Gardoš ",,"145 m2
Kvadratura",44.8488859,20.4081498
"Rajka od Rasine, Banovo brdo , 102m2","225.000,00 €","Beograd ","Opština Čukarica ","Banovo brdo ","Rajka od Rasine ","102 m2
Kvadratura",44.7765003,20.4145299
Prodajemo povoljno četvorosoban stan na Banovom b.,"159.000,00 €","Beograd ","Opština Čukarica ","Banovo brdo ","Nikolaja Gogolja ","100 m2
Kvadratura",44.7755602,20.4126121
"Požeška, Banovo brdo 137m²","395.000,00 €","Beograd ","Opština Čukarica ","Banovo brdo ","Požeška ","137 m2
Kvadratura",44.7738858,20.4137645
